dataset_id,geometry_id,algorithm_id,bit_rule,contamination_id,seed,point_count,bits_axis,miad,normalized_miad,m1_l1_locality,m1_l1_status,m1_l1_sampled,m1_l1_sampled_status,m1_l2_locality,m1_l2_status,m1_l2_sampled,m1_l2_sampled_status,recall_8_64,recall_8_64_status,recall_8_64_sampled,recall_8_64_sampled_status,kendall_tau_clean,frame_angle_rad,peak_rss_kb,cache_miss_rate,block_read_p95,perf_status,sort_seconds,robust_fallback_used
stanford_armadillo,E4,A3_isotropic_hilbert,C1_monotone_half,D0,1,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1177408,0.0504108,10.0586234,ok,0.207576,False
stanford_armadillo,E4,A3_isotropic_hilbert,C1_monotone_half,D0,2,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1184464,0.0508635,10.0586234,ok,0.211288,False
stanford_armadillo,E4,A3_isotropic_hilbert,C1_monotone_half,D0,3,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1191248,0.051378,10.0586234,ok,0.208592,False
stanford_armadillo,E4,A3_isotropic_hilbert,C1_monotone_half,D0,4,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1197824,0.0440349,10.0586234,ok,0.210381,False
stanford_armadillo,E4,A3_isotropic_hilbert,C2_occupancy_floor1,D0,0,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1204596,0.0413347,10.0586234,ok,0.212317,False
stanford_armadillo,E4,A3_isotropic_hilbert,C2_occupancy_floor1,D0,1,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1211344,0.0481083,10.0586234,ok,0.213001,False
stanford_armadillo,E4,A3_isotropic_hilbert,C2_occupancy_floor1,D0,2,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1218096,0.0508434,10.0586234,ok,0.208368,False
stanford_armadillo,E4,A3_isotropic_hilbert,C2_occupancy_floor1,D0,3,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1224988,0.0499278,10.0586234,ok,0.214917,False
stanford_armadillo,E4,A3_isotropic_hilbert,C2_occupancy_floor1,D0,4,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1232148,0.044903,10.0586234,ok,0.209498,False
stanford_armadillo,E4,A3_isotropic_hilbert,C3_frame_core_occupancy,D0,0,172974,10 10 10,0.699083685,0.00305538596,424165.287,exact,424165.287,exact,6.98291658e-11,exact,6.98291658e-11,exact,0.782707228,exact,0.782707228,exact,1,,1239020,0.0406409,10.0586234,ok,0.21203,False
